"","Comparison","Z","P.unadj","P.adj","subtype","sig","sig.adjust"
"1","ABL signaling - Apoptosis regulation",0.448968651398588,0.653454270996054,0.867516877012003,"STAD_CIN","",""
"2","ABL signaling - Cell cycle",-0.212885408246632,0.831416344045305,0.914557978449835,"STAD_CIN","",""
"3","Apoptosis regulation - Cell cycle",-1.3571414198908,0.174736279802371,0.517488213260867,"STAD_CIN","",""
"4","ABL signaling - Chromatin histone acetylation",-0.220398983990235,0.825560436617859,0.912461535209213,"STAD_CIN","",""
"5","Apoptosis regulation - Chromatin histone acetylation",-0.956387819438023,0.338876336292019,0.71164030621324,"STAD_CIN","",""
"6","Cell cycle - Chromatin histone acetylation",-0.0489775519978299,0.960937185376191,0.977869999215419,"STAD_CIN","",""
"7","ABL signaling - Chromatin histone methylation",0.0424158042452941,0.966167229721395,0.978879956428255,"STAD_CIN","",""
"8","Apoptosis regulation - Chromatin histone methylation",-0.391775192621698,0.695224326197715,0.872808800824305,"STAD_CIN","",""
"9","Cell cycle - Chromatin histone methylation",0.268420732137057,0.788375482926844,0.897116928847788,"STAD_CIN","",""
"10","Chromatin histone acetylation - Chromatin histone methylation",0.269376535988065,0.787639940597946,0.900716961772898,"STAD_CIN","",""
"11","ABL signaling - Chromatin other",-0.0173161795717911,0.986184378106905,0.990472136272587,"STAD_CIN","",""
"12","Apoptosis regulation - Chromatin other",-0.745696143118521,0.455850989574334,0.780011693271639,"STAD_CIN","",""
"13","Cell cycle - Chromatin other",0.296910629717059,0.766534740588649,0.908048846543476,"STAD_CIN","",""
"14","Chromatin histone acetylation - Chromatin other",0.273792839096697,0.784243826998873,0.901295144461392,"STAD_CIN","",""
"15","Chromatin histone methylation - Chromatin other",-0.0692647182871647,0.944778908991903,0.969973013231687,"STAD_CIN","",""
"16","ABL signaling - Cytoskeleton",0.551405455188824,0.581355761937019,0.823884546057984,"STAD_CIN","",""
"17","Apoptosis regulation - Cytoskeleton",0.294546312700985,0.768340479654189,0.905544136735295,"STAD_CIN","",""
"18","Cell cycle - Cytoskeleton",0.934844618822165,0.349868381345164,0.7216035365244,"STAD_CIN","",""
