"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value"
"1",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","High_cal",-0.157863942979818
"2",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","MSI",-0.303195315039308
"3",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","STAD_MSI",-0.0696020633814013
"4",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","STAD_GS",0.0273141356253527
"5",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","MSS_TP53neg",0.0236635153840692
"6",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","Low_cal",0.157863942979818
"7",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","MSS_TP53pos",0.030031033318593
"8",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","EMT",0.224637842365518
"9",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","STAD_EBV",-0.152426329908771
"10",1003,"SANGER","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","camptothecin..GDSC2.1003.","STAD_CIN",0.0963654190748842
"11",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","MSI",-0.0204632817978286
"12",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","High_cal",-0.284926495531155
"13",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","MSS_TP53neg",-0.0341025466502919
"14",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","EMT",-0.0297072335433074
"15",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","STAD_CIN",0.155329066222397
"16",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","STAD_MSI",-0.16658975402912
"17",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","STAD_GS",0.090102318958202
"18",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","Low_cal",0.284926495531155
"19",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","MSS_TP53pos",0.062447418504512
"20",1004,"SANGER","Vinblastine","Velban","Microtubule destabiliser","Mitosis","vinblastine..GDSC2.1004.","STAD_EBV",-0.174518528065145
"21",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","MSI",-0.0889069617062952
"22",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","High_cal",-0.049884448487858
"23",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","MSS_TP53neg",-0.331974285403647
"24",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","EMT",0.081482725254589
"25",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","STAD_GS",0.203709708054307
"26",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","STAD_CIN",-0.0663217172444987
"27",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","MSS_TP53pos",0.311838320880896
"28",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","STAD_EBV",-0.0317768619962881
"29",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","STAD_MSI",-0.0344029964306437
"30",1005,"SANGER","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","cisplatin..GDSC2.1005.","Low_cal",0.049884448487858
"31",1006,"SANGER","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","cytarabine..GDSC2.1006.","MSI",-0.47094544828054
